split,rep,model_name,metric,value
validation,25,baseline,accuracy,0.625955754918952
validation,25,full_formatting,log_loss,0.6403775709615195
validation,25,full_formatting,brier_score,0.22426568390506504
validation,25,full_formatting,accuracy,0.6360485268630849
validation,25,signal_interactions,log_loss,0.6396384706596808
validation,25,signal_interactions,brier_score,0.22400219815918354
validation,25,signal_interactions,accuracy,0.6403303088999898
validation,26,baseline,log_loss,0.6514623939472695
validation,26,baseline,brier_score,0.2297152391559528
validation,26,baseline,accuracy,0.61605405958841
validation,26,full_formatting,log_loss,0.6425340883763255
validation,26,full_formatting,brier_score,0.22551859718894807
validation,26,full_formatting,accuracy,0.6254735333265077
validation,26,signal_interactions,log_loss,0.6435023911865921
validation,26,signal_interactions,brier_score,0.2258197289549341
validation,26,signal_interactions,accuracy,0.6320262107095321
validation,27,baseline,log_loss,0.6479350925629317
validation,27,baseline,brier_score,0.22811714358711652
validation,27,baseline,accuracy,0.6208746709860296
validation,27,full_formatting,log_loss,0.6418774867952778
validation,27,full_formatting,brier_score,0.2249413617091007
validation,27,full_formatting,accuracy,0.6288722413444017
validation,27,signal_interactions,log_loss,0.6399410110837302
validation,27,signal_interactions,brier_score,0.22417360694285277
validation,27,signal_interactions,accuracy,0.6389957481271512
validation,28,baseline,log_loss,0.6424730601630636
validation,28,baseline,brier_score,0.225552133186331
validation,28,baseline,accuracy,0.6314878892733564
validation,28,full_formatting,log_loss,0.6345778997630911
validation,28,full_formatting,brier_score,0.22184215683405445
validation,28,full_formatting,accuracy,0.6402401791166293
validation,28,signal_interactions,log_loss,0.634275546469397
validation,28,signal_interactions,brier_score,0.22173917885505373
validation,28,signal_interactions,accuracy,0.647364135965805
validation,29,baseline,log_loss,0.6454995588568251
validation,29,baseline,brier_score,0.22694008079926795
validation,29,baseline,accuracy,0.6258599757183326
validation,29,full_formatting,log_loss,0.6382449034670695
validation,29,full_formatting,brier_score,0.22338406991182344
validation,29,full_formatting,accuracy,0.6334479967624443
validation,29,signal_interactions,log_loss,0.6380220464755773
validation,29,signal_interactions,brier_score,0.2232704828792939
validation,29,signal_interactions,accuracy,0.641845406717928
validation,30,baseline,log_loss,0.6435267134916226
validation,30,baseline,brier_score,0.22610188029284337
validation,30,baseline,accuracy,0.6266270369990776
validation,30,full_formatting,log_loss,0.6356413481309452
validation,30,full_formatting,brier_score,0.22187906333290863
validation,30,full_formatting,accuracy,0.6372860510402788
validation,30,signal_interactions,log_loss,0.6367343942358482
validation,30,signal_interactions,brier_score,0.22242506696221714
